,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_290,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_297,0.0245,0.035,0.0335,0.034,0.022,0.031,0.042
t_298,0.14400000000000002,0.1685,0.14150000000000001,0.058499999999999996,0.08,0.11,0.17099999999999999
t_299,0.228,0.2305,0.1705,0.0435,0.111,0.1185,0.259
t_300,0.2825,0.2735,0.1955,0.0525,0.1555,0.1345,0.3335
t_301,0.2945,0.279,0.2115,0.04,0.162,0.14,0.354
t_302,0.31,0.3065,0.258,0.1075,0.1615,0.177,0.3325
t_303,0.2745,0.2725,0.22849999999999998,0.16199999999999998,0.134,0.20400000000000001,0.2585
t_304,0.1785,0.1875,0.17049999999999998,0.146,0.08299999999999999,0.158,0.1575
t_305,0.0735,0.0565,0.0525,0.043000000000000003,0.0195,0.042,0.034
t_306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_320,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_321,0.021500000000000002,0.03,0.0335,0.0385,0.034999999999999996,0.0315,0.0385
t_322,0.11800000000000001,0.116,0.1235,0.08,0.10149999999999999,0.0915,0.1525
t_323,0.175,0.10950000000000001,0.127,0.035500000000000004,0.1315,0.0775,0.23049999999999998
t_324,0.22,0.1265,0.1935,0.072,0.217,0.1085,0.325
t_325,0.2285,0.1285,0.199,0.05,0.1745,0.1015,0.34650000000000003
t_326,0.23149999999999998,0.14450000000000002,0.2125,0.064,0.17099999999999999,0.11349999999999999,0.299
t_327,0.198,0.148,0.1815,0.0695,0.1365,0.1065,0.21499999999999997
t_328,0.1245,0.0955,0.1075,0.035500000000000004,0.069,0.0655,0.133
t_329,0.043500000000000004,0.0395,0.03,0.0135,0.0185,0.02,0.0345
t_330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_345,0.0225,0.03,0.034,0.0425,0.0455,0.037000000000000005,0.0285
t_346,0.1305,0.0975,0.1035,0.186,0.168,0.17099999999999999,0.10200000000000001
t_347,0.2045,0.146,0.1095,0.101,0.17450000000000002,0.16899999999999998,0.07100000000000001
t_348,0.2415,0.2135,0.228,0.244,0.254,0.2665,0.125
t_349,0.253,0.21,0.181,0.2305,0.2055,0.28049999999999997,0.101
t_350,0.22799999999999998,0.21250000000000002,0.191,0.183,0.183,0.2185,0.1015
t_351,0.14500000000000002,0.14350000000000002,0.122,0.1405,0.145,0.135,0.077
t_352,0.078,0.08349999999999999,0.107,0.0775,0.0925,0.10200000000000001,0.056499999999999995
t_353,0.036000000000000004,0.0345,0.019,0.0255,0.021500000000000002,0.0285,0.014499999999999999
t_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_360,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_369,0.018,0.0215,0.028999999999999998,0.026,0.0315,0.028999999999999998,0.022
t_370,0.072,0.0795,0.0955,0.06999999999999999,0.07200000000000001,0.07200000000000001,0.1105
t_371,0.1405,0.101,0.062,0.0225,0.0975,0.0315,0.053000000000000005
t_372,0.0975,0.08549999999999999,0.056,0.038,0.08499999999999999,0.0595,0.10600000000000001
t_373,0.0875,0.0805,0.1045,0.022,0.061,0.0755,0.181
t_374,0.10650000000000001,0.131,0.1805,0.081,0.092,0.14150000000000001,0.259
t_375,0.0925,0.1085,0.07,0.0605,0.099,0.143,0.244
t_376,0.0645,0.051500000000000004,0.044,0.023,0.045,0.036000000000000004,0.1645
t_377,0.023,0.025,0.018,0.01,0.019,0.0165,0.0485
t_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_380,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
