zone,week,level
PT00,w24,0.5512215669755688
PT00,w25,0.5284751474304972
PT00,w26,0.5245998315080035
PT00,w27,0.5127211457455773
PT00,w28,0.5186183656276329
PT00,w29,0.5240943555181131
PT00,w30,0.5026116259477676
PT00,w31,0.5015164279696716
PT00,w32,0.5022746419545073
PT00,w33,0.4981465880370684
PT00,w34,0.4865206402695873
PT00,w35,0.4912384161752319
PT00,w36,0.4914911541701771
PT00,w37,0.4866891322662175
PT00,w38,0.4898062342038755
PT00,w39,0.4915754001684923
PT00,w40,0.4863521482729571
PT00,w41,0.4844144903117104
PT00,w42,0.4771693344566134
PT00,w43,0.476663858466723
PT00,w44,0.4879528222409436
PT00,w45,0.4783487784330247
PT00,w46,0.4925863521482732
PT00,w47,0.5143218197135636
PT00,w48,0.5575400168491998
PT00,w49,0.5617523167649539
PT00,w50,0.558887952822241
PT00,w51,0.5579612468407752
PT00,w52,0.5653748946925021
