zone,week,Minimum Reservoir levels at beginning of each week,Maximum Reservoir level at beginning of each week
SE03,53,0.1580303605313093,0.9223529411764706
SE04,1,5e-4,0.9954139534883719
SE04,2,0.006715116279069767,0.9954139534883719
SE04,3,0.02764744186046511,0.9954139534883719
SE04,4,0.1077418604651163,0.9954139534883719
SE04,5,0.1196106976744186,0.9954139534883719
SE04,6,0.07499441860465116,0.9954139534883719
SE04,7,0.04721302325581395,0.9954139534883719
SE04,8,6.719023255813953e-4,0.9954139534883719
SE04,9,0.00792739534883721,0.9954139534883719
SE04,10,0.001202539534883721,0.9954139534883719
SE04,11,0.004291255813953488,0.9954139534883719
SE04,12,0.001620279069767442,0.9954139534883719
SE04,13,4.363116279069767e-4,0.9954139534883719
SE04,14,0.001452697674418604,0.9954139534883719
SE04,15,0,0.9954139534883719
SE04,16,0.01453116279069767,0.9954139534883719
SE04,17,0.2611116279069767,0.9954139534883719
SE04,18,0.3393488372093023,0.9954139534883719
SE04,19,0.4559860465116279,0.9954139534883719
SE04,20,0.5007767441860466,0.9881999999999999
SE04,21,0.5873302325581394,0.9953302325581393
SE04,22,0.627306976744186,0.9621209302325581
SE04,23,0.5673627906976744,0.9881023255813952
SE04,24,0.5589488372093023,0.9172046511627907
SE04,25,0.6019953488372093,0.9377441860465116
SE04,26,0.5786232558139535,0.9897767441860464
SE04,27,0.6766325581395348,0.9954139534883719
SE04,28,0.6852418604651163,0.9954139534883719
SE04,29,0.7207813953488371,0.9954139534883719
SE04,30,0.7367302325581395,0.9954139534883719
SE04,31,0.6545162790697674,0.9954139534883719
SE04,32,0.7222186046511627,0.9954139534883719
SE04,33,0.7346372093023256,0.9954139534883719
SE04,34,0.6302232558139534,0.9830651162790698
SE04,35,0.5810372093023255,0.9925813953488373
SE04,36,0.506846511627907,0.9954139534883719
SE04,37,0.4267813953488371,0.9896511627906975
SE04,38,0.3425302325581395,0.9954139534883719
SE04,39,0.3173860465116279,0.9954139534883719
SE04,40,0.2875116279069767,0.9954139534883719
SE04,41,0.2141162790697674,0.9954139534883719
SE04,42,0.1146739534883721,0.9954139534883719
SE04,43,0.03932930232558139,0.9954139534883719
SE04,44,0.01795953488372093,0.9954139534883719
SE04,45,0.02682837209302326,0.9954139534883719
SE04,46,0,0.9954139534883719
SE04,47,0,0.9954139534883719
SE04,48,0.0386106976744186,0.9954139534883719
SE04,49,0.04993674418604651,0.9954139534883719
SE04,50,0.001898093023255814,0.9954139534883719
SE04,51,0.0402293023255814,0.9954139534883719
SE04,52,0.01315116279069767,0.9954139534883719
SE04,53,0.001784093023255814,0.9954139534883719
